epsout,E1 IPr,E2 IPr,E1rel IPr,E2rel IPr,E1 MIC,E2 MIC,E1rel MIC,E2rel MIC,E1 thiazole,E2 thiazole,E1rel thiazole,E2rel thiazole,E PhI,Erel PhI,dG IPr,dG MIC,dG thiazole
1.0,0.919,4.657,-5.664,-1.926,1.017,4.490,-5.566,-2.093,1.145,5.426,-5.438,-1.157,0.234,-6.349,15.796,18.066,21.006
1.5,1.364,4.229,-4.527,-1.662,1.442,4.113,-4.449,-1.779,1.729,4.893,-4.162,-0.999,1.257,-4.634,2.456,4.256,10.886
2.5,1.736,3.907,-3.617,-1.446,1.804,3.829,-3.550,-1.525,2.238,4.465,-3.116,-0.888,2.074,-3.280,-8.894,-6.224,3.786
5.0,2.046,3.687,-2.904,-1.264,2.102,3.638,-2.849,-1.313,2.643,4.146,-2.308,-0.805,2.693,-2.258,-17.674,-13.624,-1.144
10.0,2.210,3.591,-2.544,-1.163,2.268,3.559,-2.486,-1.194,2.860,3.986,-1.893,-0.767,3.032,-1.722,-23.114,-17.624,-3.034
15.0,2.266,3.556,-2.422,-1.132,2.322,3.536,-2.366,-1.152,2.964,3.923,-1.723,-0.765,3.100,-1.587,-23.714,-17.954,-3.134
20.0,2.306,3.533,-2.348,-1.122,2.355,3.519,-2.299,-1.135,3.006,3.904,-1.648,-0.750,3.152,-1.502,-24.294,-18.384,-3.374
25.0,2.324,3.524,-2.310,-1.111,2.378,3.512,-2.257,-1.122,3.031,3.889,-1.604,-0.746,3.183,-1.452,-24.754,-18.564,-3.504
30.0,2.337,3.517,-2.285,-1.104,2.390,3.504,-2.232,-1.118,3.048,3.877,-1.573,-0.744,3.203,-1.418,-25.064,-18.754,-3.574
35.0,2.346,3.513,-2.266,-1.099,2.399,3.500,-2.214,-1.112,3.060,3.870,-1.552,-0.742,3.218,-1.395,-25.274,-18.884,-3.624
40.0,2.353,3.510,-2.253,-1.095,2.404,3.497,-2.201,-1.108,3.069,3.864,-1.536,-0.741,3.228,-1.377,-25.434,-19.014,-3.674
45.0,2.358,3.507,-2.242,-1.093,2.409,3.496,-2.191,-1.104,3.076,3.861,-1.524,-0.739,3.237,-1.363,-25.574,-19.094,-3.714
50.0,2.362,3.505,-2.233,-1.090,2.413,3.494,-2.183,-1.102,3.082,3.857,-1.514,-0.739,3.243,-1.353,-25.654,-19.144,-3.714
55.0,2.365,3.504,-2.227,-1.088,2.416,3.493,-2.175,-1.099,3.087,3.854,-1.505,-0.738,3.249,-1.343,-25.754,-19.204,-3.744
60.0,2.368,3.502,-2.221,-1.087,2.419,3.491,-2.170,-1.098,3.091,3.852,-1.498,-0.737,3.254,-1.335,-25.824,-19.244,-3.764
65.0,2.370,3.501,-2.216,-1.085,2.422,3.491,-2.165,-1.096,3.094,3.850,-1.493,-0.737,3.258,-1.329,-25.884,-19.284,-3.784
70.0,2.373,3.501,-2.212,-1.084,2.423,3.490,-2.161,-1.095,3.097,3.848,-1.488,-0.737,3.262,-1.323,-25.954,-19.334,-3.804
75.0,2.374,3.500,-2.208,-1.083,2.425,3.489,-2.158,-1.093,3.099,3.846,-1.483,-0.736,3.264,-1.319,-25.984,-19.344,-3.794
80.0,2.376,3.499,-2.205,-1.082,2.427,3.489,-2.154,-1.092,3.102,3.845,-1.479,-0.736,3.267,-1.314,-26.014,-19.364,-3.804
85.0,2.377,3.498,-2.202,-1.082,2.429,3.488,-2.151,-1.091,3.103,3.844,-1.476,-0.736,3.269,-1.310,-26.054,-19.374,-3.824
90.0,2.379,3.498,-2.200,-1.081,2.430,3.488,-2.148,-1.090,3.105,3.843,-1.473,-0.736,3.271,-1.307,-26.084,-19.384,-3.824
95.0,2.380,3.497,-2.198,-1.080,2.432,3.487,-2.146,-1.090,3.107,3.842,-1.471,-0.736,3.273,-1.304,-26.124,-19.404,-3.834
100.0,2.381,3.496,-2.195,-1.080,2.432,3.487,-2.144,-1.089,3.108,3.841,-1.468,-0.735,3.275,-1.301,-26.144,-19.424,-3.844